DeploymentID	Location	Demand	DwellBeforeDeploy	BogBudget	CycleTime	DeployInterval	DeployDate	FillType	FillCount	UnitType	DemandType	DemandGroup	Unit	Policy	AtomicPolicy	Component	Period	FillPath	PathLength	FollowOn	FollowOnCount	DeploymentCount
211	Ready_Deployable	1_R8_SRC3_[721...901]	183	227	226	722	1/6/2015	Primary	791	SRC3	SRC3	UnGrouped	270_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	2
212	Available	1_R7_SRC3_[721...901]	381	225	426	722	1/6/2015	Primary	792	SRC3	SRC3	UnGrouped	263_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	2
213	OS_Deployable	1_R7_SRC3_[721...901]	1253	225	1298	722	1/6/2015	Primary	793	SRC3	SRC3	UnGrouped	65_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	2
214	OS_Deployable	1_R32_SRC3_[666...778]	1217	225	1262	722	1/6/2015	Primary	794	SRC3	SRC3	Small	61_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	2
215	Available	1_R32_SRC3_[666...778]	417	135	552	722	1/6/2015	Primary	795	SRC3	SRC3	Small	281_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	3
216	OS_Deployable	1_R32_SRC3_[666...778]	1216	270	1216	730	1/14/2015	Primary	796	SRC3	SRC3	Small	55_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
217	OS_Deployable	1_R32_SRC3_[666...778]	1216	270	1216	739	1/23/2015	Primary	797	SRC3	SRC3	Small	54_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
218	Ready_Deployable	1__SRC1_[666...778]	182	270	182	745	1/29/2015	Substitute	798	SRC3	SRC1	Large	225_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC1->SRC1->Sub_SRC1_SRC3->SOURCE_SRC3->Filled	1	FALSE	0	1
219	Ready_Deployable	1_A2_SRC1_[721...901]	182	270	182	745	1/29/2015	Substitute	799	SRC3	SRC1	UnGrouped	226_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC1->SRC1->Sub_SRC1_SRC3->SOURCE_SRC3->Filled	1	FALSE	0	1
220	OS_Deployable	1__SRC1_[595...963]	1216	270	1216	748	2/1/2015	Substitute	800	SRC3	SRC1	XL	53_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC1->SRC1->Sub_SRC1_SRC3->SOURCE_SRC3->Filled	1	FALSE	0	1
221	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	757	2/10/2015	Primary	801	SRC3	SRC3	Large	52_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
222	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	766	2/19/2015	Primary	802	SRC3	SRC3	Large	51_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
217	1_R32_SRC3_[666...778]	1_R33_SRC3_[778...1048]	1216	231	1255	778	3/3/2015	Primary	803	SRC3	SRC3	Small	54_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	TRUE	1	2
223	OS_Deployable	1_R21_SRC3_[595...963]	1220	270	1220	788	3/13/2015	Primary	804	SRC3	SRC3	Large	49_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
224	OS_Deployable	1_R21_SRC3_[595...963]	1229	270	1229	788	3/13/2015	Primary	805	SRC3	SRC3	Large	50_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
225	Ready_Deployable	1_R21_SRC3_[595...963]	193	270	193	788	3/13/2015	Primary	806	SRC3	SRC3	Large	221_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
226	Ready_Deployable	1_R21_SRC3_[595...963]	193	270	193	788	3/13/2015	Primary	807	SRC3	SRC3	Large	223_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
227	Ready_Deployable	1_R21_SRC3_[595...963]	193	270	193	788	3/13/2015	Primary	808	SRC3	SRC3	Large	222_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
228	OS_Deployable	1_R5_SRC3_[361...2521]	1234	270	1234	811	4/5/2015	Primary	809	SRC3	SRC3	UnGrouped	48_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
229	OS_Deployable	1_R35_SRC3_[811...901]	1216	270	1216	811	4/5/2015	Primary	810	SRC3	SRC3	V4	46_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
230	OS_Deployable	1_R35_SRC3_[811...901]	1225	270	1225	811	4/5/2015	Primary	811	SRC3	SRC3	V4	47_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
231	Ready_Deployable	1_R35_SRC3_[811...901]	215	237	248	811	4/5/2015	Primary	812	SRC3	SRC3	V4	225_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	2
232	OS_Deployable	1_R35_SRC3_[811...901]	1249	222	1297	811	4/5/2015	Primary	813	SRC3	SRC3	V4	55_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	2
233	OS_Deployable	1_R35_SRC3_[811...901]	1250	169	1351	811	4/5/2015	Primary	814	SRC3	SRC3	V4	61_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	3
234	Available	1_R35_SRC3_[811...901]	290	110	450	811	4/5/2015	Primary	815	SRC3	SRC3	V4	264_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	1	3
235	Available	1_R35_SRC3_[811...901]	290	110	450	811	4/5/2015	Primary	816	SRC3	SRC3	V4	265_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	1	3
236	Available	1__SRC1_[811...901]	236	110	396	811	4/5/2015	Substitute	817	SRC3	SRC1	Medium	246_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC1->SRC1->Sub_SRC1_SRC3->SOURCE_SRC3->Filled	1	FALSE	1	3
237	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	820	4/14/2015	Primary	818	SRC3	SRC3	Large	45_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
238	Ready_Deployable	1_R21_SRC3_[595...963]	189	270	189	820	4/14/2015	Primary	819	SRC3	SRC3	Large	224_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
239	OS_Deployable	1_R21_SRC3_[595...963]	1272	110	1432	820	4/14/2015	Primary	820	SRC3	SRC3	Large	69_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	1	3
