rep-seed	SRC	phase	AC-fill	NG-fill	RC-fill	AC-overlap	NG-overlap	RC-overlap	total-quantity	AC-deployable	NG-deployable	RC-deployable	AC-not-ready	NG-not-ready	RC-not-ready	AC-total	NG-total	RC-total	AC	NG	RC
-3583631517115538627	63426K000	comp	66	0	5091	30	0	756	12315	0	0	0	725	0	32740	821	0	38587	1	0	47
-3583631517115538627	63426K000	phase-1	146	0	5965	0	0	30	6132	0	0	266	0	0	601	146	0	6862	1	0	47
-7079607983502818874	63426K000	comp	335	0	5004	30	0	716	12315	0	0	0	456	0	32046	821	0	37766	1	0	46
-7079607983502818874	63426K000	phase-1	146	0	5970	0	0	60	6132	0	0	105	0	0	581	146	0	6716	1	0	46
6905711326835401406	63426K000	comp	129	0	4791	30	0	615	12315	0	0	0	662	0	31539	821	0	36945	1	0	45
6905711326835401406	63426K000	phase-1	146	0	5601	0	0	87	6132	0	0	0	0	0	882	146	0	6570	1	0	45
-5584775193021092232	63426K000	comp	149	0	5190	30	0	630	12315	0	0	0	642	0	30304	821	0	36124	1	0	44
-5584775193021092232	63426K000	phase-1	146	0	5676	0	0	30	6132	0	0	0	0	0	718	146	0	6424	1	0	44
-1685763405318446537	63426K000	comp	79	0	4028	30	0	593	12315	0	0	0	712	0	30682	821	0	35303	1	0	43
-1685763405318446537	63426K000	phase-1	146	0	5506	0	0	90	6132	0	0	0	0	0	682	146	0	6278	1	0	43
3618275030082862648	63426K000	comp	61	0	4351	30	0	570	12315	0	0	0	730	0	29561	821	0	34482	1	0	42
3618275030082862648	63426K000	phase-1	146	0	5509	0	0	90	6132	0	0	0	0	0	533	146	0	6132	1	0	42
-3521025573995865849	63426K000	comp	81	0	3362	30	0	600	12315	0	0	0	710	0	29699	821	0	33661	1	0	41
-3521025573995865849	63426K000	phase-1	146	0	5581	0	0	75	6132	0	0	0	0	0	330	146	0	5986	1	0	41
-6863419716327549772	63426K000	comp	335	0	4357	30	0	570	12315	0	0	0	456	0	27913	821	0	32840	1	0	40
-6863419716327549772	63426K000	phase-1	146	0	5139	0	0	128	6132	0	0	0	0	0	573	146	0	5840	1	0	40
8548207711936469433	63426K000	comp	271	0	4158	30	0	612	12315	0	0	0	520	0	27249	821	0	32019	1	0	39
8548207711936469433	63426K000	phase-1	146	0	5096	0	0	115	6132	0	0	0	0	0	483	146	0	5694	1	0	39
5636940461969593464	63426K000	comp	335	0	3471	30	0	469	12315	0	0	0	456	0	27258	821	0	31198	1	0	38
5636940461969593464	63426K000	phase-1	146	0	5005	0	0	19	6132	0	0	0	0	0	524	146	0	5548	1	0	38
-8487172994898555456	63426K000	comp	335	0	4372	30	0	660	12315	0	0	0	456	0	25345	821	0	30377	1	0	37
-8487172994898555456	63426K000	phase-1	146	0	4745	0	0	30	6132	0	0	0	0	0	627	146	0	5402	1	0	37
-6731013670330063931	63426K000	comp	0	0	5327	0	0	725	12315	0	0	0	0	0	37461	0	0	43513	0	0	53
-6731013670330063931	63426K000	phase-1	0	0	6132	0	0	60	6132	0	0	953	0	0	593	0	0	7738	0	0	53
2329045896118581347	63426K000	comp	0	0	4718	0	0	679	12315	0	0	0	0	0	37295	0	0	42692	0	0	52
2329045896118581347	63426K000	phase-1	0	0	6132	0	0	30	6132	0	0	768	0	0	662	0	0	7592	0	0	52
9174061941632264871	63426K000	comp	0	0	5060	0	0	900	12315	0	0	69	0	0	35842	0	0	41871	0	0	51
9174061941632264871	63426K000	phase-1	0	0	6132	0	0	0	6132	0	0	791	0	0	523	0	0	7446	0	0	51
503857395356251382	63426K000	comp	0	0	5244	0	0	810	12315	0	0	5	0	0	34991	0	0	41050	0	0	50
503857395356251382	63426K000	phase-1	0	0	6132	0	0	60	6132	0	0	841	0	0	267	0	0	7300	0	0	50
673020552662408774	63426K000	comp	0	0	5264	0	0	598	12315	0	0	0	0	0	34367	0	0	40229	0	0	49
673020552662408774	63426K000	phase-1	0	0	5902	0	0	210	6132	0	0	46	0	0	996	0	0	7154	0	0	49
8925343867316266058	63426K000	comp	0	0	4074	0	0	587	12315	0	0	0	0	0	34747	0	0	39408	0	0	48
8925343867316266058	63426K000	phase-1	0	0	6132	0	0	66	6132	0	0	181	0	0	629	0	0	7008	0	0	48
-6363141803348005509	63426K000	comp	0	0	5223	0	0	810	12315	0	0	0	0	0	32554	0	0	38587	0	0	47
-6363141803348005509	63426K000	phase-1	0	0	5974	0	0	90	6132	0	0	0	0	0	798	0	0	6862	0	0	47
7300599417655508326	63426K000	comp	0	0	5014	0	0	690	12315	0	0	0	0	0	32062	0	0	37766	0	0	46
7300599417655508326	63426K000	phase-1	0	0	6132	0	0	75	6132	0	0	65	0	0	444	0	0	6716	0	0	46
-1103623001814883674	63426K000	comp	0	0	5171	0	0	720	12315	0	0	0	0	0	31054	0	0	36945	0	0	45
-1103623001814883674	63426K000	phase-1	0	0	5753	0	0	125	6132	0	0	0	0	0	692	0	0	6570	0	0	45
7094817657563592054	63426K000	comp	0	0	5041	0	0	576	12315	0	0	0	0	0	30507	0	0	36124	0	0	44
7094817657563592054	63426K000	phase-1	0	0	5492	0	0	212	6132	0	0	0	0	0	720	0	0	6424	0	0	44
-6525868206941090114	63426K000	comp	0	0	6334	0	0	754	12315	0	0	0	0	0	28215	0	0	35303	0	0	43
-6525868206941090114	63426K000	phase-1	0	0	4909	0	0	150	6132	0	0	0	0	0	1219	0	0	6278	0	0	43
-4234161778822925565	63426K000	comp	0	0	4618	0	0	750	12315	0	0	0	0	0	29114	0	0	34482	0	0	42
-4234161778822925565	63426K000	phase-1	0	0	5363	0	0	60	6132	0	0	0	0	0	709	0	0	6132	0	0	42
-1954565432038993495	63426K000	comp	0	0	3797	0	0	600	12315	0	0	0	0	0	29264	0	0	33661	0	0	41
-1954565432038993495	63426K000	phase-1	0	0	5609	0	0	116	6132	0	0	0	0	0	261	0	0	5986	0	0	41
-7400150545808261020	63426K000	comp	0	0	5933	0	0	720	12315	0	0	0	0	0	26187	0	0	32840	0	0	40
